album_id,album_name,release_date,artist_id
1,Career,2022-01-05,1
2,Media,2024-08-08,1
3,Pressure,2022-07-16,1
4,Carry,2022-03-17,1
5,Must,2023-12-23,1
6,Happy,2020-10-28,2
7,Sport,2023-08-31,3
8,Wrong,2024-01-06,4
9,Responsibility,2025-04-17,4
10,Information,2023-11-13,4
11,Century,2020-12-30,4
12,Full,2023-05-23,4
13,Those,2021-03-12,5
14,Both,2025-04-01,5
15,Might,2025-01-08,5
16,Avoid,2023-10-01,6
17,Newspaper,2023-04-17,6
18,Especially,2021-03-11,6
19,Pay,2024-01-21,6
20,Represent,2024-09-21,7
21,As,2020-10-22,8
22,Region,2020-10-28,9
23,Even,2023-06-23,9
24,When,2022-10-14,10
25,Song,2023-09-08,10
26,Budget,2023-02-22,11
27,Friend,2022-11-17,11
28,Officer,2021-03-14,11
29,Save,2024-05-13,12
30,Director,2022-12-03,12
31,Film,2021-04-24,13
32,Listen,2021-08-07,13
33,Fall,2024-02-21,13
34,Start,2025-04-09,13
35,Star,2021-06-01,13
36,Then,2021-05-15,14
37,Pull,2021-09-18,14
38,Ground,2021-04-01,15
39,Allow,2022-03-29,16
40,Room,2024-09-17,16
41,Wife,2021-08-24,16
42,Under,2023-10-01,16
43,Message,2021-11-09,16
44,Box,2022-08-21,17
45,True,2022-09-07,18
46,Name,2024-06-03,18
47,Collection,2020-09-21,18
48,Manager,2021-08-15,19
49,Girl,2020-12-15,19
50,Send,2021-05-29,19
51,Us,2021-02-02,19
52,Real,2021-03-15,20
53,Arm,2023-03-03,20
54,Doctor,2024-06-18,20
55,Arm,2022-05-07,21
56,Head,2024-03-31,21
57,Hope,2024-06-16,22
58,Response,2021-02-17,22
59,Couple,2025-05-16,22
60,Foreign,2025-06-23,22
61,Gun,2021-09-12,23
62,Attorney,2024-02-05,24
63,Cup,2021-03-12,24
64,Probably,2025-01-23,24
65,Black,2022-04-09,24
66,Probably,2024-08-31,24
67,Professional,2024-02-27,25
68,Interest,2021-09-15,25
69,Believe,2020-10-09,25
70,Able,2022-01-27,26
71,Level,2024-11-05,27
72,Notice,2022-05-29,27
73,Worker,2020-11-16,27
74,Increase,2021-09-15,28
75,Place,2020-10-15,29
76,Story,2021-08-20,29
77,Wait,2022-01-03,29
78,Fill,2023-11-19,29
79,Knowledge,2023-10-07,30
80,Item,2021-01-19,31
81,Property,2020-10-18,32
82,Clear,2024-09-26,32
83,Yourself,2022-08-28,32
84,Water,2022-07-13,32
85,Team,2024-04-22,33
86,Any,2021-12-01,34
87,Executive,2024-06-21,35
88,Stuff,2024-08-18,35
89,Program,2022-08-19,35
90,Everything,2022-04-22,35
91,Behind,2023-08-20,36
92,Dark,2022-01-23,36
93,Writer,2020-12-17,36
94,Role,2024-07-16,37
95,Even,2025-06-07,37
96,Can,2024-09-03,38
97,Across,2023-10-15,38
98,Write,2021-06-27,38
99,International,2024-08-13,39
100,Every,2024-07-30,40
101,Central,2025-02-10,40
102,List,2024-05-15,40
103,Information,2024-07-01,40
