artist_id,name,country,popularity,genre
1,Terry Hunter,Morocco,62,Melody
2,Stephanie Strong,Martinique,50,Rock
3,Gina Ortiz,Uganda,73,Hip-hop
4,Jill Ramos,Lao People's Democratic Republic,73,Electronic
5,Ryan Guzman,Kyrgyz Republic,73,Rock
6,Kayla Stewart,Malaysia,80,Pop
7,Brianna Vasquez,Guadeloupe,73,Pop
8,Donald Logan,Guinea,73,Electronic
9,Brian Parrish,Nigeria,87,Melody
10,Diane Medina,Svalbard & Jan Mayen Islands,73,Classical
11,Sean Jones,Mauritius,73,Classical
12,Henry Wilson,Paraguay,73,Classical
13,Alexandra Moore,Cape Verde,73,Rock
14,Jonathan Schmidt,Luxembourg,90,Jazz
15,John Park,Reunion,73,Pop
16,William Adams,Ireland,73,Electronic
17,Sean Gray,Fiji,52,Melody
18,Edward Pennington,Bahamas,73,Rock
19,Michele Chambers,Bulgaria,73,Classical
20,Katherine Smith,Costa Rica,65,Hip-hop
21,Jared Stevens,Guatemala,73,Electronic
22,Cynthia Diaz,Western Sahara,73,Pop
23,Tommy Sullivan,Singapore,73,Hip-hop
24,Charles Lopez,Singapore,73,Classical
25,Shannon Ramos,Congo,73,Hip-hop
26,Sharon Black,Ghana,73,Electronic
27,Tammy Johnson,Kenya,73,Jazz
28,Daniel Grant,Lao People's Democratic Republic,81,Electronic
29,Brittany Robertson,Guadeloupe,92,Jazz
30,Nathan Brown,Kyrgyz Republic,60,Pop
31,Eric Dougherty II,Egypt,73,Classical
32,Tiffany Wood,Chile,77,Rock
33,Erika Jones,Suriname,73,Rock
34,Michael Delacruz,South Africa,74,Jazz
35,Kevin Jimenez,Finland,73,Hip-hop
36,Theresa Kim,Barbados,73,Jazz
37,Melissa Stephenson,Jamaica,89,Jazz
38,Brian Harrison,Saint Kitts and Nevis,75,Jazz
39,Debra Martinez,Saint Pierre and Miquelon,73,Hip-hop
40,William Macias,Slovenia,65,Hip-hop
