song_id,name,album,album_id,artist_id,duration,genre
1,Just build later.,Pull,37,14,16,Jazz
2,Measure drop exist.,Information,103,40,16,Hip-hop
3,How.,Clear,82,32,18,Rock
4,Operation arm arm.,Team,85,33,18,Rock
5,Yard so increase must.,Allow,39,16,16,Electronic
6,Suffer fund.,Able,70,26,20,Electronic
7,Ground at everything.,Represent,20,7,11,Pop
8,Raise affect against.,International,99,39,16,Hip-hop
9,Meeting minute him.,Full,12,4,16,Electronic
10,Ok nature industry.,Team,85,33,16,Rock
11,Fund once.,Water,84,32,16,Rock
12,Street turn.,Wait,77,29,13,Jazz
13,Much actually whom father.,International,99,39,17,Hip-hop
14,Behavior choose star.,Across,97,38,16,Jazz
15,Ago production.,Program,89,35,20,Hip-hop
16,Here vote.,Responsibility,9,4,25,Electronic
17,Course exist body.,Water,84,32,7,Rock
18,Any management.,Room,40,16,19,Electronic
19,Current memory.,Item,80,31,16,Classical
20,Test memory movement.,Both,14,5,16,Rock
21,His someone company.,Sport,7,3,20,Hip-hop
22,Each fall commercial.,Happy,6,2,16,Rock
23,Improve field what.,Place,75,29,14,Jazz
24,American thought tell.,Head,56,21,9,Electronic
25,Move report protect.,Central,101,40,12,Hip-hop
26,Soldier treat method.,Gun,61,23,16,Hip-hop
27,Call best despite.,Notice,72,27,25,Jazz
28,Mother many ahead.,Dark,92,36,16,Jazz
29,Much partner language today.,Might,15,5,24,Rock
30,Something agency now.,Item,80,31,23,Classical
31,Woman way.,Water,84,32,14,Rock
32,Stay production.,Girl,49,19,16,Classical
33,Just record back hard.,Hope,57,22,16,Pop
34,Consumer term eye.,Increase,74,28,16,Electronic
35,Expect recently culture.,Story,76,29,16,Jazz
36,Away air.,Then,36,14,24,Jazz
37,Whether economy break.,Information,10,4,16,Electronic
38,Walk time.,Write,98,38,16,Jazz
39,Family the.,Head,56,21,9,Electronic
40,Treat already nearly.,Then,36,14,9,Jazz
41,Parent detail treatment.,Team,85,33,10,Rock
42,Through ok.,Career,1,1,25,Melody
43,Popular point guess.,Media,2,1,16,Melody
44,Reduce thought interest.,Might,15,5,16,Rock
45,Shake process.,Gun,61,23,21,Hip-hop
46,Make listen.,Especially,18,6,16,Pop
47,Memory send politics sit.,Pull,37,14,15,Jazz
48,Let mind.,Ground,38,15,16,Pop
49,Investment over senior.,When,24,10,16,Classical
50,Should better full meet.,Gun,61,23,24,Hip-hop
51,Without positive.,Sport,7,3,21,Hip-hop
52,Before.,When,24,10,9,Classical
53,West interview.,Wife,41,16,16,Electronic
54,Professional form.,Sport,7,3,14,Hip-hop
55,Rate own right same.,Both,14,5,16,Rock
56,Page vote international.,Officer,28,11,16,Classical
57,Meet culture yourself.,When,24,10,12,Classical
58,Wrong country now.,Yourself,83,32,24,Rock
59,Clearly ready attention.,Team,85,33,25,Rock
60,Yet.,Especially,18,6,16,Pop
61,Investment carry.,Even,23,9,20,Melody
62,Increase image generation.,Ground,38,15,21,Pop
