user_id,artist_id,song_id,play_count,listening_time,device_type,album_id,timestamp,is_liked,is_skipped
844,40,764,25,65,Desktop,101,2025-05-05 17:46:11.523313,False,True
1455,10,742,15,55,Mobile,25,2025-03-21 17:46:11.523332,True,True
3013,24,225,25,63,Desktop,64,2025-03-23 17:46:11.523339,True,True
994,28,724,25,55,Desktop,74,2024-08-25 17:46:11.523344,True,False
217,14,263,50,82,Desktop,37,2025-05-18 17:46:11.523350,False,True
2317,20,434,25,55,Mobile,54,2025-02-05 17:46:11.523355,False,False
3335,31,561,36,60,Mobile,80,2025-06-30 17:46:11.523360,False,False
2060,6,144,25,75,Mobile,16,2025-02-22 17:46:11.523365,True,True
3821,20,649,25,55,Mobile,54,2025-03-02 17:46:11.523370,False,False
2861,16,146,25,55,Desktop,42,2024-08-13 17:46:11.523377,False,True
838,17,688,25,78,Mobile,44,2025-04-15 17:46:11.523382,True,False
4386,31,19,6,55,Desktop,80,2025-06-19 17:46:11.523387,True,False
3721,25,282,25,55,Mobile,68,2025-06-14 17:46:11.523392,True,False
1063,30,251,25,90,Desktop,79,2024-09-05 17:46:11.523396,True,False
2685,30,366,25,98,Desktop,79,2025-05-30 17:46:11.523401,True,False
2765,28,34,25,72,Desktop,74,2024-09-14 17:46:11.523405,True,True
3018,17,525,25,55,Mobile,44,2025-06-24 17:46:11.523409,True,True
2139,27,624,25,55,Desktop,72,2025-07-29 17:46:11.523415,False,True
650,31,743,41,55,Tablet,80,2025-05-12 17:46:11.523419,False,False
3829,35,675,36,60,Tablet,87,2025-03-14 17:46:11.523423,True,True
4086,9,491,25,55,Mobile,23,2025-02-28 17:46:11.523427,False,False
830,32,109,8,55,Tablet,83,2025-03-11 17:46:11.523431,True,True
929,29,23,25,23,Mobile,75,2024-08-17 17:46:11.523435,True,True
2400,29,209,29,55,Desktop,77,2025-04-07 17:46:11.523439,True,True
3541,35,675,25,55,Tablet,87,2025-01-27 17:46:11.523443,True,False
3713,2,214,37,55,Mobile,6,2025-02-03 17:46:11.523447,False,True
2803,5,228,25,55,Mobile,14,2024-08-18 17:46:11.523451,False,True
2455,24,145,13,40,Mobile,64,2025-05-02 17:46:11.523456,True,True
3398,9,499,48,55,Desktop,23,2025-05-18 17:46:11.523461,True,False
902,9,471,21,14,Mobile,23,2024-08-23 17:46:11.523465,True,False
2556,11,112,19,89,Mobile,28,2024-08-23 17:46:11.523470,False,True
1190,34,317,7,16,Desktop,86,2024-11-01 17:46:11.523474,False,True
3125,27,618,25,55,Mobile,73,2024-11-10 17:46:11.523478,True,False
3115,19,300,25,39,Tablet,49,2025-02-13 17:46:11.523482,False,False
3799,5,663,1,55,Desktop,14,2025-03-29 17:46:11.523487,False,True
3265,14,490,4,55,Tablet,37,2025-08-02 17:46:11.523491,True,False
2035,31,746,25,51,Mobile,80,2024-11-22 17:46:11.523496,False,False
962,22,111,25,34,Mobile,60,2024-12-18 17:46:11.523500,False,False
2662,21,774,25,60,Tablet,55,2025-05-06 17:46:11.523504,False,False
1395,21,568,25,55,Tablet,55,2025-07-07 17:46:11.523508,False,False
907,16,560,25,55,Tablet,43,2025-07-21 17:46:11.523512,True,True
