user_id,subscription_type,subscription_category,start_date,end_date,amount
1,Premium,3 month,2025-06-19,2025-09-17,722.46
2,Free,Monthly,2025-07-15,2025-08-14,0.0
3,Family,3 month,2024-09-30,2024-12-29,605.06
4,Premium,Monthly,2025-07-05,2025-08-04,605.06
5,Premium,3 month,2025-07-30,2025-10-28,605.06
6,Free,Yearly,2024-10-15,2025-10-15,0.0
7,Family,Yearly,2025-07-19,2026-07-19,605.06
8,Premium,3 month,2025-01-23,2025-04-23,605.06
9,Free,Monthly,2025-05-21,2025-06-20,0.0
10,Family,Yearly,2025-02-17,2026-02-17,605.06
11,Free,3 month,2025-06-21,2025-09-19,0.0
12,Free,Monthly,2024-10-28,2024-11-27,0.0
13,Free,3 month,2024-09-20,2024-12-19,0.0
14,Free,3 month,2025-03-22,2025-06-20,0.0
15,Free,Yearly,2024-11-18,2025-11-18,0.0
16,Premium,Monthly,2025-02-02,2025-03-04,605.06
17,Premium,3 month,2025-06-23,2025-09-21,485.3
18,Premium,3 month,2024-10-01,2024-12-30,605.06
19,Premium,Yearly,2025-05-27,2026-05-27,605.06
20,Premium,3 month,2025-02-12,2025-05-13,622.62
21,Premium,Monthly,2025-03-07,2025-04-06,605.06
22,Premium,3 month,2024-08-16,2024-11-14,605.06
23,Free,Monthly,2025-07-07,2025-08-06,0.0
24,Family,3 month,2025-05-26,2025-08-24,697.87
25,Premium,Yearly,2024-08-17,2025-08-17,605.06
26,Free,Yearly,2025-06-17,2026-06-17,0.0
27,Free,Yearly,2024-10-13,2025-10-13,0.0
28,Free,Monthly,2024-12-19,2025-01-18,0.0
29,Family,Yearly,2024-10-23,2025-10-23,605.06
30,Premium,Monthly,2024-08-11,2024-09-10,605.06
31,Premium,Monthly,2025-07-04,2025-08-03,605.06
32,Free,Yearly,2025-04-10,2026-04-10,0.0
33,Premium,3 month,2025-02-28,2025-05-29,605.06
34,Family,Monthly,2024-12-01,2024-12-31,605.06
35,Free,3 month,2025-01-12,2025-04-12,0.0
36,Premium,3 month,2024-09-16,2024-12-15,605.06
37,Premium,Monthly,2025-05-21,2025-06-20,888.86
38,Premium,Monthly,2025-05-05,2025-06-04,605.06
39,Premium,Monthly,2024-09-12,2024-10-12,605.06
40,Premium,Yearly,2025-05-01,2026-05-01,605.06
41,Premium,3 month,2025-07-26,2025-10-24,605.06
42,Free,Monthly,2025-01-26,2025-02-25,0.0
43,Free,Yearly,2024-08-23,2025-08-23,0.0
44,Free,3 month,2025-07-28,2025-10-26,0.0
45,Free,3 month,2024-11-06,2025-02-04,0.0
46,Free,Monthly,2025-07-28,2025-08-27,0.0
47,Free,Monthly,2025-07-23,2025-08-22,0.0
48,Free,3 month,2025-07-14,2025-10-12,0.0
49,Premium,Yearly,2024-09-07,2025-09-07,569.05
50,Family,Yearly,2025-06-11,2026-06-11,605.06
51,Free,Monthly,2024-10-26,2024-11-25,0.0
52,Premium,Monthly,2024-12-09,2025-01-08,605.06
53,Premium,3 month,2025-01-01,2025-04-01,966.65
54,Family,Monthly,2025-06-18,2025-07-18,605.06
55,Premium,Monthly,2024-09-13,2024-10-13,700.04
56,Free,3 month,2025-03-06,2025-06-04,0.0
57,Family,Yearly,2024-11-01,2025-11-01,605.06
58,Premium,Monthly,2025-03-18,2025-04-17,605.06
59,Free,3 month,2025-07-19,2025-10-17,0.0
60,Family,Yearly,2025-03-19,2026-03-19,605.06
61,Family,Monthly,2024-08-31,2024-09-30,867.96
62,Free,Yearly,2025-03-17,2026-03-17,0.0
63,Family,Monthly,2024-12-03,2025-01-02,863.33
64,Free,Yearly,2024-12-07,2025-12-07,0.0
65,Premium,3 month,2025-08-03,2025-11-01,404.29
66,Family,Yearly,2024-10-20,2025-10-20,669.3
67,Premium,Yearly,2025-01-10,2026-01-10,605.06
68,Family,3 month,2024-08-26,2024-11-24,471.81
69,Premium,Yearly,2025-04-11,2026-04-11,507.84
70,Premium,3 month,2025-03-30,2025-06-28,605.06
71,Family,3 month,2024-12-13,2025-03-13,605.06
72,Family,Yearly,2025-05-22,2026-05-22,605.06
73,Family,3 month,2024-08-09,2024-11-07,605.06
74,Premium,Yearly,2025-07-31,2026-07-31,577.79
75,Family,Yearly,2024-08-17,2025-08-17,605.06
76,Family,3 month,2025-04-05,2025-07-04,605.06
77,Family,Yearly,2024-12-02,2025-12-02,605.06
78,Premium,Monthly,2025-05-30,2025-06-29,605.06
79,Premium,3 month,2025-07-10,2025-10-08,605.06
80,Free,3 month,2025-07-17,2025-10-15,0.0
81,Family,3 month,2025-05-15,2025-08-13,335.97
82,Free,3 month,2024-09-20,2024-12-19,0.0
83,Family,Yearly,2025-04-01,2026-04-01,605.06
84,Family,3 month,2024-08-16,2024-11-14,540.83
85,Premium,3 month,2025-06-19,2025-09-17,605.06
86,Premium,Yearly,2024-09-22,2025-09-22,605.06
87,Premium,3 month,2025-01-08,2025-04-08,605.06
88,Premium,3 month,2025-06-18,2025-09-16,605.06
89,Family,Monthly,2024-08-29,2024-09-28,938.68
90,Free,Monthly,2025-05-30,2025-06-29,0.0
91,Premium,Yearly,2025-04-03,2026-04-03,522.63
92,Free,Yearly,2025-03-05,2026-03-05,0.0
93,Premium,Monthly,2024-11-01,2024-12-01,605.06
94,Premium,Yearly,2025-04-16,2026-04-16,605.06
95,Family,3 month,2025-05-04,2025-08-02,605.06
96,Premium,Monthly,2025-05-20,2025-06-19,605.06
97,Free,Monthly,2024-12-18,2025-01-17,0.0
98,Premium,3 month,2025-02-07,2025-05-08,605.06
99,Premium,3 month,2025-03-18,2025-06-16,999.69
100,Premium,3 month,2025-06-19,2025-09-17,605.06
101,Free,3 month,2025-03-20,2025-06-18,0.0
102,Family,Yearly,2025-06-09,2026-06-09,605.06
103,Free,Monthly,2024-10-02,2024-11-01,0.0
104,Free,Monthly,2025-02-25,2025-03-27,0.0
105,Free,Yearly,2025-01-10,2026-01-10,0.0
106,Premium,Yearly,2024-10-26,2025-10-26,969.45
107,Premium,3 month,2024-11-14,2025-02-12,696.71
108,Premium,3 month,2024-11-27,2025-02-25,315.55
109,Premium,Yearly,2024-12-04,2025-12-04,605.06
110,Free,3 month,2025-03-03,2025-06-01,0.0
111,Premium,3 month,2025-06-27,2025-09-25,605.06
112,Free,Yearly,2025-04-16,2026-04-16,0.0
113,Premium,Monthly,2025-01-22,2025-02-21,578.92
114,Premium,Yearly,2024-11-02,2025-11-02,410.36
115,Premium,Monthly,2025-06-03,2025-07-03,340.51
116,Family,Yearly,2025-03-30,2026-03-30,605.06
117,Family,3 month,2025-06-26,2025-09-24,605.06
118,Family,Monthly,2024-11-15,2024-12-15,749.66
119,Free,Monthly,2025-07-16,2025-08-15,0.0
120,Premium,Yearly,2025-02-19,2026-02-19,605.06
121,Family,3 month,2025-01-08,2025-04-08,605.06
122,Premium,Yearly,2025-02-25,2026-02-25,490.41
123,Premium,Yearly,2025-04-26,2026-04-26,605.06
124,Free,3 month,2024-08-10,2024-11-08,0.0
125,Free,Yearly,2025-05-21,2026-05-21,0.0
126,Premium,Monthly,2024-08-18,2024-09-17,605.06
127,Premium,Monthly,2025-08-08,2025-09-07,605.06
128,Premium,Monthly,2025-03-08,2025-04-07,605.06
129,Premium,Monthly,2025-04-04,2025-05-04,360.76
130,Premium,3 month,2025-06-01,2025-08-30,605.06
131,Premium,Monthly,2025-05-03,2025-06-02,605.06
132,Premium,Yearly,2024-11-19,2025-11-19,605.06
133,Premium,Monthly,2025-06-20,2025-07-20,605.06
134,Premium,Yearly,2025-03-01,2026-03-01,377.69
135,Family,3 month,2025-05-23,2025-08-21,605.06
136,Premium,Monthly,2024-12-31,2025-01-30,605.06
137,Free,Monthly,2025-05-11,2025-06-10,0.0
138,Premium,Monthly,2024-12-20,2025-01-19,605.06
139,Premium,Yearly,2024-11-08,2025-11-08,605.06
140,Free,Yearly,2025-06-17,2026-06-17,0.0
141,Premium,Monthly,2025-06-04,2025-07-04,605.06
142,Free,Yearly,2025-06-26,2026-06-26,0.0
143,Family,3 month,2024-12-30,2025-03-30,605.06
144,Premium,Monthly,2025-03-03,2025-04-02,605.06
145,Premium,Yearly,2024-09-15,2025-09-15,605.06
146,Premium,Yearly,2025-08-07,2026-08-07,605.06
147,Free,Yearly,2024-10-20,2025-10-20,0.0
148,Premium,Yearly,2024-08-20,2025-08-20,274.95
149,Premium,Yearly,2024-08-21,2025-08-21,605.06
150,Family,Monthly,2024-10-25,2024-11-24,605.06
151,Premium,3 month,2024-10-01,2024-12-30,979.93
152,Premium,Yearly,2025-06-25,2026-06-25,605.06
